key,de-DE,en-US
custom.data.type.nfis.geometry.name,NFIS-Geometrie,NFIS Geometry
custom.data.type.nfis.geometry.multiSelect.yes,Mehrfachauswahl,Multi selection
custom.data.type.nfis.geometry.multiSelect.no,Keine Mehrfachauswahl,No multi selection
custom.data.type.nfis.geometry.edit.no_data,Keine Daten vorhanden,No data present
custom.data.type.nfis.geometry.search.placeholder,Geometrie-ID,Geometry ID
custom.data.type.nfis.geometry.search.badge.without,Ohne,Without
custom.data.type.nfis.geometry.createNewGeometry,Neue Geometrie anlegen,Create new geometry
custom.data.type.nfis.geometry.linkExistingGeometry,Existierende Geometrie verknüpfen,Link existing geometry
custom.data.type.nfis.geometry.editGeometry,Bearbeiten,Edit
custom.data.type.nfis.geometry.removeGeometry,Verknüpfung entfernen,Remove link
custom.data.type.nfis.geometry.viewGeometry,Im Masterportal anzeigen,View in Masterportal
custom.data.type.nfis.geometry.modal.cancel,Abbrechen,cancel
custom.data.type.nfis.geometry.modal.ok,Ok,Ok
custom.data.type.nfis.geometry.create.modal.text.1,Legen Sie die neue Geometrie im Masterportal an und geben Sie dabei die folgende Geometrie-ID an:,Create the new geometry in Masterpotal using the following geometry ID:
custom.data.type.nfis.geometry.create.modal.text.2,Übernehmen Sie die neue Geometrie anschließend per Klick auf den Ok-Button.,Then save the new geometry by clicking the Ok button.
custom.data.type.nfis.geometry.create.modal.error.notFound,Die neue Geometrie konnte nicht gefunden werden.,The new geometry could not be found.
custom.data.type.nfis.geometry.set.modal.text,"Bitte geben Sie die ID der Geometrie an, die Sie verknüpfen möchten.",Please enter the ID of the geometry you want to link.
custom.data.type.nfis.geometry.set.modal.error.notFound,Die Geometrie konnte nicht gefunden werden.,The geometry could not be found.
custom.data.type.nfis.geometry.edit.modal.title,Geometrie bearbeiten,Edit geometry
custom.data.type.nfis.geometry.edit.modal.text,"Bearbeiten Sie die Geometrie im Masterportal und betätigen Sie anschließend den Ok-Button, um die Kartenanzeige zu aktualisieren.","Edit the geometry in Masterportal and then press the Ok button to update the map view."
custom.data.type.nfis.geometry.placeholder.unconfigured,Nicht konfiguriert,Unconfigured
custom.data.type.nfis.geometry.placeholder.empty,Keine Geometrien vorhanden,No geometries found
custom.data.type.nfis.geometry.config.parameter.schema.multi_select.value.label,Mehrfachauswahl,Multi selection
custom.data.type.nfis.geometry.config.parameter.schema.multi_select.value.checkbox,Erlauben,Allow
custom.data.type.nfis.geometry.config.parameter.mask.value.value.label,Nicht ausfüllen,Do not fill in
server.config.name.system.nfisGeoservices,NFIS-Geodienste,NFIS Geoservices
server.config.parameter.system.nfisGeoservices.masterportal_url.label,Masterportal-URL,Masterportal URL
server.config.parameter.system.nfisGeoservices.geoserver_username.label,Geoserver: Username,Geoserver: User name
server.config.parameter.system.nfisGeoservices.geoserver_password.label,Geoserver: Passwort,Geoserver: Password
server.config.parameter.system.nfisGeoservices.wfs_configuration.label,Objekttypen,Object types
server.config.parameter.system.nfisGeoservices.wfs_configuration.object_type.label,Name des Objekttyps,Object type name
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.label,Geometrie-Felder,Geometry fields
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.field_path.label,Feldname (inkl. Pfad),Field name (including path)
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.display_wfs_url.label,WFS-URL für Kartendarstellung,WFS URL for map display
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.display_wfs_feature_type.label,WFS-Feature-Type für Kartendarstellung,WFS feature type for map display
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.masterportal_default_layer_id.label,Masterportal-Layer-ID (Standard),Masterportal layer ID (default)
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.masterportal_layer_field_name.label,Name des WFS-Feldes für Zuordnung der Masterportal-Layer-ID,Name of WFS field for assigning Masterportal layer ID
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.masterportal_layer_ids.label,Masterportal-Layer-IDs (basierend auf WFS-Feldwert),Masterportal layer IDs (based on WFS field value)
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.masterportal_layer_ids.field_value.label,Feldwert,Field value
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.masterportal_layer_ids.layer_id.label,Layer-ID,Layer ID
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.send_data_to_geoserver.label,Datenübertragung an Geoserver,Data transfer to geoserver
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.send_data_to_geoserver.checkbox,Aktivieren,Activate
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.edit_wfs_url.label,WFS-URL für Datenübertragung,WFS URL for data transfer
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.edit_wfs_feature_type.label,WFS-Feature-Type für Datenübertragung,WFS feature type for data transfer
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.style_uuid.label,UUID des Style-Objekts,Style object UUID
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.fields.label,Zu übertragende Felddaten,Field data to be transferred
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.fields.fylr_field_name.label,Name des Feldes im Fylr-Objekt (inkl. Pfad),Name of field in Fylr object (including path)
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.fields.wfs_field_name.label,Name des WFS-Zielfeldes,Name of WFS target field
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.wfs_event_status_field.label,WFS-Zielfeld für den Status des neuesten Ausweisungsereignisses,WFS target field for the status of the newest designation event 
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.wfs_pool_field.label,WFS-Zielfeld für die Poolbezeichnung,WFS target field for pool name
server.config.parameter.system.nfisGeoservices.wfs_configuration.geometry_fields.allowed_pool_names.label,Erlaubte Poolbezeichnungen für Datenübertragung,Allowed pool names for data transfer
base.error.realm.multipleGeometryLinking,Mehrfachverknüpfung von Geometrien nicht erlaubt,Multiple linking of geometries not permitted
